id;call_id;date;type;name;number;duration;record;status;device_id
1;1;1642395288;DRAFT;quang;0985330878;45287;firmware Tennessee;DUPLICATE;1
2;2;1610859288;DRAFT;tra;0978910195;6092;bypassing up;CLOSE;1
3;3;1610859287;OUT;tuan anh;0338209770;75889;syndicate structure;OPEN;1
4;4;1610859283;OUT;hieu;0985330888;56416;Movies Optional up;INACTIVE;1
5;5;1610859212;OUT;hieu;0974105888;6409;channels collaborative Argentina;INACTIVE;1
6;6;1610859228;DRAFT;hieu;0985330888;4820;calculate;OPEN;1
7;7;1610859188;OUT;hieu;0985330888;76012;alarm;ACTIVE;1
8;8;1610859088;OUT;hieu;0985330888;85480;Pizza microchip;OPEN;1
9;9;1610859123;DRAFT;hieu;0985330888;54247;Ball;ACTIVE;1
10;10;1610856108;MISSED;hieu;0985330888;56433;Buckinghamshire violet;CLOSE;1
