id;name;model;version;device_id;cell_number;operator;internal_storage;external_storage;memory;created;modified;status
1;JDQ39;GT-P5210;4.2.2;30ce1afa75aa1120;+84 121 852 4840;Bee Line;96669;9269;44940;1642395730;1642395792;OPEN
2;JSS15J;SM-N900;4.3;4a30a3edb362a4f4;+84 121 899 7194;Era GSM;63736;26949;70625;1642395735;1642395792;INACTIVE
3;C6503J;C6503;4.2.2;6b2fc4262c93ac9d;+84 121 033 8149;CelTel;18560;39669;35725;1642395740;1642395806;OPEN
4;JDQ39;GT-N5110;4.2.2;9b381d745e75f90d;+84 121 862 2973;Vodafone D2;41773;30690;54461;1642395748;1642395810;DUPLICATE
5;FROYO;GT-I9000;2.2.1;c4d5918f67c41a75;+84 121 901 4430;Rogers AT&T;17571;54308;44470;1642395753;1642395813;ACTIVE
6;JDQ39;GT-I9505;4.2.2;87910148c651403a;+84 121 850 4841;MTN-UGANDA;45411;94528;69729;1642395757;1642395817;INACTIVE
7;IML74K;S500;4.0.3;00bbbdafa3da02a4;+84 121 841 8452;Cellone;30297;88891;15790;1642395757;1642395821;CLOSE
8;JZO54K;GT-I9300;4.1.2;0ad90a8563f55bf8;+84 121 448 4913;Orange;80481;93001;44979;1642395783;1642395825;OPEN
9;JZO54K;GT-I9103;2.3.6;01e8f8582240be10;+84 121 678 5992;UTL TELECEL;80275;22607;78154;1642395788;1642395828;OPEN
10;JZO54K;SHV-E210K;4.1.2;4f2fe5b91ffcd262;+84 121 407 4458;SwaziMTN;13306;77299;39881;1642395792;1642395832;ACTIVE
