id;sms_id;date;type;name;number;data;status;device_id
1;1;1623997270;OUT;tra;0972806411;em ăn cơm chưa;CLOSE;1
2;2;1628608642;MISSED;tuananh;0338209770;ủa em;DUPLICATE;1
3;3;1615867603;OUT;tra;0972806411;alo alo ;DUPLICATE;1
4;4;1625706608;DRAFT;quan;0987654211;hong bé ơi ;ACTIVE;1
5;5;1635858066;OUT;quang;0917944659;jztr ?;INACTIVE;1
6;6;1617473937;IN;quan;0987654211;em ăn cơm chưa;INACTIVE;1
7;7;1612595904;DRAFT;tra;0972806411;ủa em;ACTIVE;1
8;8;1617234959;IN;quang;0917944659;alo alo ;INACTIVE;1
9;9;1633526637;OUT;tuananh;0338209770;hong bé ơi ;DUPLICATE;1
10;10;1626685142;OUT;tuananh;0338209770;jztr ?;INACTIVE;1
11;11;1636784089;OUT;quang;0917944659;em ăn cơm chưa;CLOSE;1
12;12;1635570885;MISSED;tra;0972806411;ủa em;DUPLICATE;1
13;13;1640187525;OUT;quan;0987654211;alo alo ;DUPLICATE;1
14;14;1614286950;DRAFT;quan;0987654211;hong bé ơi ;ACTIVE;1
15;15;1624868874;OUT;quan;0987654211;jztr ?;INACTIVE;1
16;16;1612756075;IN;tra;0972806411;em ăn cơm chưa;INACTIVE;1
17;17;1631918726;DRAFT;quan;0987654211;ủa em;ACTIVE;1
18;18;1635014439;IN;quang;0917944659;alo alo ;INACTIVE;1
19;19;1625300128;OUT;tra;0972806411;hong bé ơi ;DUPLICATE;1
20;20;1620736682;OUT;tuananh;0338209770;jztr ?;INACTIVE;1

